CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping
"
PROTECT",2.N,"2.N Disable Macros by Default: Reduce the risk from embedded macros and similar executive code, a common and highly effective threat actor TTP.","A system-enforced policy that disables Microsoft Office macros, or similar embedded code, by default on all devices. If macros must be enabled in specific circumstances, there is a policy for authorized users to request that macros are enabled on specific assets.","PR.PS-05.02: The organization implements safeguards against unauthorized mobile code (e.g., JavaScript, ActiveX, VBScript, PowerShell, etc.) on mobile, end point, and server systems.",PROTECT / Platform Security / Unauthorized Software Installation & Execution
"
PROTECT",2.O,"2.O Document device configurations: More efficiently and effectively manage, respond to, and recover from cyberattacks against the organization and maintain service continuity.",Organizations maintain accurate documentation describing the baseline and current configuration details of all critical IT and OT assets to facilitate more effective vulnerability management and response and recovery activities. Periodic reviews and updates are performed and tracked on a recurring basis.,"PR.PS-01.01: The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management
"
PROTECT",2.P,2.P Document Network Topology: More efficiently and effectively respond to cyberattacks and maintain service continuity.,Organizations maintain accurate documentation describing updated network topology and relevant information across all IT and OT networks. Periodic reviews and updates should be performed and tracked on a recurring basis.,"ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",IDENTIFY / Asset Management / Network Communications & Data Flows
"
PROTECT",2.Q,"2.Q Hardware and Software Approval Process: Increase visibility into deployed technology assets, and reduce the likelihood of breach by users installing unapproved hardware, firmware, or software.","Implement an administrative policy or automated process that requires approval before new hardware, firmware, or software/software version is installed or deployed. Organizations maintain a risk-informed allowlist of approved hardware, firmware, and software that includes specification of approved versions, when technically feasible.  For OT assets specifically, these actions should also be aligned with defined change control and testing activities.","ID.AM-08.02: The organization establishes policies, and employs methods to identify, assess, and manage technology solutions that are acquired, managed, or used outside of established, governed technology and cybersecurity processes (i.e., ""Shadow IT"").",IDENTIFY / Asset Management / Asset Life Cycle Management
"
PROTECT",2.Q,"2.Q Hardware and Software Approval Process: Increase visibility into deployed technology assets, and reduce the likelihood of breach by users installing unapproved hardware, firmware, or software.","Implement an administrative policy or automated process that requires approval before new hardware, firmware, or software/software version is installed or deployed. Organizations maintain a risk-informed allowlist of approved hardware, firmware, and software that includes specification of approved versions, when technically feasible.  For OT assets specifically, these actions should also be aligned with defined change control and testing activities.","PR.PS-01.01: The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management
"
PROTECT",2.Q,"2.Q Hardware and Software Approval Process: Increase visibility into deployed technology assets, and reduce the likelihood of breach by users installing unapproved hardware, firmware, or software.","Implement an administrative policy or automated process that requires approval before new hardware, firmware, or software/software version is installed or deployed. Organizations maintain a risk-informed allowlist of approved hardware, firmware, and software that includes specification of approved versions, when technically feasible.  For OT assets specifically, these actions should also be aligned with defined change control and testing activities.",PR.PS-01.03: The organization employs detection measures and performs regular enforcement checks to ensure that non-compliance with baseline security standards are promptly identified and rectified.,PROTECT / Platform Security / Configuration Management
"
PROTECT",2.Q,"2.Q Hardware and Software Approval Process: Increase visibility into deployed technology assets, and reduce the likelihood of breach by users installing unapproved hardware, firmware, or software.","Implement an administrative policy or automated process that requires approval before new hardware, firmware, or software/software version is installed or deployed. Organizations maintain a risk-informed allowlist of approved hardware, firmware, and software that includes specification of approved versions, when technically feasible.  For OT assets specifically, these actions should also be aligned with defined change control and testing activities.","DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring"
"
PROTECT",2.R,2.R System Backups: Organizations reduce the likelihood and duration of data loss at loss of service delivery or operations.,"All systems that are necessary for operations are regularly backed up on a regular cadence (no less than once per year).  

Backups are stored separately from the source systems and tested on a recurring basis, no less than once per year. Stored information for OT assets includes at a minimum: configurations, roles, programmable controler (PLC) logic, engineering drawings, and tools.","PR.DS-11.01: The organization defines and implements standards and procedures for configuring and performing backups and data replications, including defining backup requirements by data/application/infrastructure criticality, segregating (e.g., air-gapping) and securing backups, verifying backup integrity, and performing backup restoration testing.",PROTECT / Data Security / Data Backup
"
PROTECT",2.R,2.R System Backups: Organizations reduce the likelihood and duration of data loss at loss of service delivery or operations.,"All systems that are necessary for operations are regularly backed up on a regular cadence (no less than once per year).  

Backups are stored separately from the source systems and tested on a recurring basis, no less than once per year. Stored information for OT assets includes at a minimum: configurations, roles, programmable controler (PLC) logic, engineering drawings, and tools.","ID.IM-02.06: The organization designs and tests its systems and processes to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises
"
PROTECT",2.S,"2.S Incident Response (IR) Plans: Organizations maintain, practice, and update cybersecurity incident response plans for relevant threat scenarios.","Organizations have, maintain, update, and regularly drill IT and OT cybersecurity incident response plans for both common and organizationally-specific (e.g., by sector, locality) threat scenarios and TTPs. When conducted, tests or drills are as realistic as feasible. IR plans are drilled at least annually, and are updated within a risk-informed time frame following the lessons learned portion of any exercise or drill.","ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operatons
"
PROTECT",2.S,"2.S Incident Response (IR) Plans: Organizations maintain, practice, and update cybersecurity incident response plans for relevant threat scenarios.","Organizations have, maintain, update, and regularly drill IT and OT cybersecurity incident response plans for both common and organizationally-specific (e.g., by sector, locality) threat scenarios and TTPs. When conducted, tests or drills are as realistic as feasible. IR plans are drilled at least annually, and are updated within a risk-informed time frame following the lessons learned portion of any exercise or drill.","ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises
"
PROTECT",2.S,"2.S Incident Response (IR) Plans: Organizations maintain, practice, and update cybersecurity incident response plans for relevant threat scenarios.","Organizations have, maintain, update, and regularly drill IT and OT cybersecurity incident response plans for both common and organizationally-specific (e.g., by sector, locality) threat scenarios and TTPs. When conducted, tests or drills are as realistic as feasible. IR plans are drilled at least annually, and are updated within a risk-informed time frame following the lessons learned portion of any exercise or drill.","ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises
"
PROTECT",2.S,"2.S Incident Response (IR) Plans: Organizations maintain, practice, and update cybersecurity incident response plans for relevant threat scenarios.","Organizations have, maintain, update, and regularly drill IT and OT cybersecurity incident response plans for both common and organizationally-specific (e.g., by sector, locality) threat scenarios and TTPs. When conducted, tests or drills are as realistic as feasible. IR plans are drilled at least annually, and are updated within a risk-informed time frame following the lessons learned portion of any exercise or drill.","ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operatons
"
PROTECT",2.T,2.T Log Collection: Achieve better visibility to detect and effectively respond to cyberattacks.,"Access- and security-focused logs (e.g., intrusion detection systems/intrusion prevention systems, firewall, data loss prevention, virtual private network) are collected and stored for use in both detection and incident response activities (e.g., forensics). Security teams are notified when a critical log source is disabled, such as Windows Event Logging.

OT: For OT assets where logs are non-standard or not available, network traffic and communications between those assets and other assets is collected.","PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation
"
PROTECT",2.T,2.T Log Collection: Achieve better visibility to detect and effectively respond to cyberattacks.,"Access- and security-focused logs (e.g., intrusion detection systems/intrusion prevention systems, firewall, data loss prevention, virtual private network) are collected and stored for use in both detection and incident response activities (e.g., forensics). Security teams are notified when a critical log source is disabled, such as Windows Event Logging.

OT: For OT assets where logs are non-standard or not available, network traffic and communications between those assets and other assets is collected.","PR.PS-04.02: The organization defines the scope and coverage of audit/log records to be created and monitored (i.e., internal and external environments, devices, and applications/services/software to be monitored) and has controls in place to ensure that the intended scope is fully covered and that no logging failures are inhibiting the collection of required logs.",PROTECT / Platform Security / Log Record Generation
"
PROTECT",2.U,2.U Secure Log Storage: Organizations' security logs are protected from unauthorized access and tampering.,"Logs are stored in a central system, such as a security information and event management tool or central database, and can only be accessed or modified by authorized and authenticated users. Logs are stored for a duration informed by risk or pertinent regulatory guidelines.","PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation
"
PROTECT",2.V,2.V Prohibit Connection of Unauthorized Devices : Prevent malicious actors from achieving initial access or data exfiltration via unauthorized portable media devices.,"Organizations maintain policies and processes to ensure that unauthorized media and hardware are not connected to IT and OT assets, such as by limiting use of USB devices and removable media or disabling AutoRun. 

OT: When feasible, establish procedures to remove, disable, or otherwise secure physical ports to prevent the connection of unauthorized devices or establish procedures for granting access through approved exceptions.","PR.DS-01.03: The organization defines and implements controls for the protection and use of removable media (e.g., access/use restrictions, encryption, malware scanning, data loss prevention, etc.)",PROTECT / Data Security / Protection of Data at Rest
"
PROTECT",2.V,2.V Prohibit Connection of Unauthorized Devices : Prevent malicious actors from achieving initial access or data exfiltration via unauthorized portable media devices.,"Organizations maintain policies and processes to ensure that unauthorized media and hardware are not connected to IT and OT assets, such as by limiting use of USB devices and removable media or disabling AutoRun. 

OT: When feasible, establish procedures to remove, disable, or otherwise secure physical ports to prevent the connection of unauthorized devices or establish procedures for granting access through approved exceptions.","DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DETECT / Continuous Monitoring / Network Monitoring
"
PROTECT",2.W,2.W No Exploitable Services on the Internet: Unauthorized users cannot gain an initial system foothold by exploiting known weaknesses in public-facing assets.,"Assets on the public internet expose no exploitable services, such as remote desktop protocol. Where these services must be exposed, appropriate compensating controls are implemented to prevent common forms of abuse and exploitation. All unnecessary OS applications and network protocols are disabled on internet-facing assets.","PR.IR-01.02: Network device configurations (e.g., firewall rules, ports, and protocols) are documented, reviewed and updated regularly and upon change to ensure alignment with network access, segmentation, traversal, and deny-all default requirements.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT",2.W,2.W No Exploitable Services on the Internet: Unauthorized users cannot gain an initial system foothold by exploiting known weaknesses in public-facing assets.,"Assets on the public internet expose no exploitable services, such as remote desktop protocol. Where these services must be exposed, appropriate compensating controls are implemented to prevent common forms of abuse and exploitation. All unnecessary OS applications and network protocols are disabled on internet-facing assets.",PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management
"
PROTECT",2.X,2.X Limit OT Connections to Public Internet: Reduce the risk of threat actors exploiting or interrupting OT assets connected to the public internet.,"No OT assets are on the public internet, unless explicitly required for operation. Exceptions must be justified and documented, and excepted assets must have additional protections in place to prevent and detect exploitation attempts (such as logging, MFA, mandatory access via proxy or other intermediary, etc.) .","PR.IR-01.01: Networks, systems, and external connections are segmented (e.g., using firewalls, software-defined networks, guest wireless networks, etc.) to implement defense-in-depth and access isolation principles.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT",2.X,2.X Limit OT Connections to Public Internet: Reduce the risk of threat actors exploiting or interrupting OT assets connected to the public internet.,"No OT assets are on the public internet, unless explicitly required for operation. Exceptions must be justified and documented, and excepted assets must have additional protections in place to prevent and detect exploitation attempts (such as logging, MFA, mandatory access via proxy or other intermediary, etc.) .",PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management
"
PROTECT",2.X,2.X Limit OT Connections to Public Internet: Reduce the risk of threat actors exploiting or interrupting OT assets connected to the public internet.,"No OT assets are on the public internet, unless explicitly required for operation. Exceptions must be justified and documented, and excepted assets must have additional protections in place to prevent and detect exploitation attempts (such as logging, MFA, mandatory access via proxy or other intermediary, etc.) .","PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
DETECT",3.A,3.A Detecting Relevant Threats and TTPs: Organizations are aware of and able to detect relevant threats and TTPs.,"Organizations document a list of threats and cyber actor TTPs relevant to their organization (e.g., based on industry, sectors), and maintain the ability (such as via rules, alerting, or commercial prevention and detection systems) to detect instances of those key threats.","DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation
"
DETECT",3.A,3.A Detecting Relevant Threats and TTPs: Organizations are aware of and able to detect relevant threats and TTPs.,"Organizations document a list of threats and cyber actor TTPs relevant to their organization (e.g., based on industry, sectors), and maintain the ability (such as via rules, alerting, or commercial prevention and detection systems) to detect instances of those key threats.","DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
"
DETECT",3.A,3.A Detecting Relevant Threats and TTPs: Organizations are aware of and able to detect relevant threats and TTPs.,"Organizations document a list of threats and cyber actor TTPs relevant to their organization (e.g., based on industry, sectors), and maintain the ability (such as via rules, alerting, or commercial prevention and detection systems) to detect instances of those key threats.","DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation
"
RESPOND",4.A,4.A Incident Reporting: CISA and other organizations are better able to provide assistance or understand the broader scope of a cyberattack.,"Organizations maintain codified policy and procedures on to whom and how to report all confirmed cybersecurity incidents to appropriate external entities (e.g., state/federal regulators or SRMA's as required, ISAC/ISAO, as well as CISA).

Known incidents are reported to CISA as well as other necessary parties within time frames directed by applicable regulatory guidance or in the absence of guidance, as soon as safely capable. This goal will be revisited following full implementation of the Cyber Incident Reporting for Critical Infrastructure Act of 2022 (CIRCIA).","DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing
"
RESPOND",4.A,4.A Incident Reporting: CISA and other organizations are better able to provide assistance or understand the broader scope of a cyberattack.,"Organizations maintain codified policy and procedures on to whom and how to report all confirmed cybersecurity incidents to appropriate external entities (e.g., state/federal regulators or SRMA's as required, ISAC/ISAO, as well as CISA).

Known incidents are reported to CISA as well as other necessary parties within time frames directed by applicable regulatory guidance or in the absence of guidance, as soon as safely capable. This goal will be revisited following full implementation of the Cyber Incident Reporting for Critical Infrastructure Act of 2022 (CIRCIA).","RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification
"
RESPOND",4.A,4.A Incident Reporting: CISA and other organizations are better able to provide assistance or understand the broader scope of a cyberattack.,"Organizations maintain codified policy and procedures on to whom and how to report all confirmed cybersecurity incidents to appropriate external entities (e.g., state/federal regulators or SRMA's as required, ISAC/ISAO, as well as CISA).

Known incidents are reported to CISA as well as other necessary parties within time frames directed by applicable regulatory guidance or in the absence of guidance, as soon as safely capable. This goal will be revisited following full implementation of the Cyber Incident Reporting for Critical Infrastructure Act of 2022 (CIRCIA).","RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
"
RESPOND",4.B,4.B Vulnerability Disclosure/Reporting: Organizations more rapidly learn about vulnerabilities or weaknesses in their assets discovered by security researchers; researchers are more incentivized to responsibly share their findings.,"Consistent with NIST SP 800-53 Revision 5 (https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final), organizations maintain a public, easily discoverable method for security researchers to notify (e.g., via email address or web form) organizations' security teams of vulnerable, misconfigured, or otherwise exploitable assets. Valid submissions are acknowledged and responded to in a timely manner, taking into account the completeness and complexity of the vulnerability.  Validated and exploitable weaknesses are mitigated consistent with their severity.

Security researchers sharing vulnerabilities discovered in good faith are protected under Safe Harbor rules.

In instances where vulnerabilities are validated and disclosed, public acknowledgement is given to the researcher who originally submitted the notification.","ID.RA-08.01: The organization has established enterprise processes for soliciting, receiving and appropriately channeling vulnerability disclosures from:
(1) Public sources (e.g., customers and security researchers);
(2) Vulnerability sharing forums (e.g., FS-ISAC); and
(3) Third-parties (e.g., cloud vendors);
(4) Internal sources (e.g., development teams).",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response
"
RESPOND",4.C,4.C Deploy Security.txt Files: Allow security researchers to submit discovered weaknesses or vulnerabilities faster.,All public-facing web domains have a security.txt file that conforms to the recommendations in RFC 9116.,"ID.RA-08.01: The organization has established enterprise processes for soliciting, receiving and appropriately channeling vulnerability disclosures from:
(1) Public sources (e.g., customers and security researchers);
(2) Vulnerability sharing forums (e.g., FS-ISAC); and
(3) Third-parties (e.g., cloud vendors);
(4) Internal sources (e.g., development teams).",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response
"
RECOVER",5.A,5.A Incident Planning and Preparedness: Organizations are capable of safely and effectively recovering from a cybersecurity incident.,"Develop, maintain, and execute plans to recover and restore to service business- or mission-critical assets or systems that might be impacted by a cybersecurity incident","ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operatons
"
RECOVER",5.A,5.A Incident Planning and Preparedness: Organizations are capable of safely and effectively recovering from a cybersecurity incident.,"Develop, maintain, and execute plans to recover and restore to service business- or mission-critical assets or systems that might be impacted by a cybersecurity incident","RC.RP-01.01: The organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations.",RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution
"
RECOVER",5.A,5.A Incident Planning and Preparedness: Organizations are capable of safely and effectively recovering from a cybersecurity incident.,"Develop, maintain, and execute plans to recover and restore to service business- or mission-critical assets or systems that might be impacted by a cybersecurity incident","RC.RP-02.02: Recovery plans are executed by first resuming critical services and core business functions, while minimizing any potential concurrent and widespread interruptions to interconnected entities and critical infrastructure, such as energy and telecommunications.",RECOVER / Incident Recovery Plan Execution / Recovery Action Performance
