,"The CRI Profile, ver. 2.1","The CRI Profile, ver. 2.1","The CRI Profile, ver. 2.1",
,•        Introduction of a new business line;,•        Introduction of a new business line;,•        Introduction of a new business line;,
,"•        Significant growth in number of accounts, delivery of critical services, or interconnectedness;","•        Significant growth in number of accounts, delivery of critical services, or interconnectedness;","•        Significant growth in number of accounts, delivery of critical services, or interconnectedness;",
,•        A significant change in a threat landscape;,•        A significant change in a threat landscape;,•        A significant change in a threat landscape;,
,•        Change in Impact Tier; and/or,•        Change in Impact Tier; and/or,•        Change in Impact Tier; and/or,
,•        A regulatory or supervisory body believes that the institution’s self-assessed Impact Tier is inaccurate or has changed.,•        A regulatory or supervisory body believes that the institution’s self-assessed Impact Tier is inaccurate or has changed.,•        A regulatory or supervisory body believes that the institution’s self-assessed Impact Tier is inaccurate or has changed.,
6,Points of Contact and Further Information,Points of Contact and Further Information,Points of Contact and Further Information,Points of Contact and Further Information
,"To Learn More: To learn more about the Profile, participating in future Profile iterations, or CRI, please contact Josh Magri of the Cyber Risk Institute. Frequently Asked Questions can be found on CRI's website at https://cyberriskinstitute.org/the-profile/profile-faq/","To Learn More: To learn more about the Profile, participating in future Profile iterations, or CRI, please contact Josh Magri of the Cyber Risk Institute. Frequently Asked Questions can be found on CRI's website at https://cyberriskinstitute.org/the-profile/profile-faq/","To Learn More: To learn more about the Profile, participating in future Profile iterations, or CRI, please contact Josh Magri of the Cyber Risk Institute. Frequently Asked Questions can be found on CRI's website at https://cyberriskinstitute.org/the-profile/profile-faq/",
,Josh Magri      ,,,
,President,,,
,membership-cri@CyberRiskInstitute.org,,,
,Cyber Risk Institute (CRI),,,
