CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages,CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages,CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages
EEE-071,Customer Cybersecurity Awareness Documentation,"- Cybersecurity awareness materials and communications distributed to customers, such as newsletters, alerts, and guidance documents.
- Records of customer-focused cybersecurity events or webinars, including topics covered and attendee feedback.
- Documentation of customer portals or platforms that provide security tips, alerts, and updates.
- Surveys or assessments measuring customer awareness and satisfaction with the organization's cybersecurity communications.
- Case studies or examples of how customer awareness initiatives have successfully mitigated security risks."
EEE-072,Cybersecurity Training for Leadership Documentation,"- Agendas and materials from cybersecurity training sessions specifically designed for the organization's governing body and senior management.
- Records of attendance and participation in cybersecurity training by board members and senior executives.
- Evaluations or assessments of cybersecurity knowledge before and after training sessions.
- Documentation of cybersecurity briefings or updates provided to the governing body and senior management on a regular basis.
- Feedback from senior leaders on the relevance and effectiveness of the cybersecurity training they received."
EEE-073,Governance Access to Cybersecurity Expertise Documents,"- Contracts or agreements with external cybersecurity experts or advisory firms engaged to support governance activities.
- Records of cybersecurity expert consultations or briefings provided to the governing body or committees.
- Documentation of in-house cybersecurity expertise available to the governing body, including staff qualifications and roles.
- Minutes from governance meetings where cybersecurity experts provided input or guidance on decision-making.
- Evaluations of the cybersecurity expertise utilized by the governing body, assessing its impact on governance decisions."
EEE-074,Data Protection and Encryption Documentation,"- Consolidated data protection policies that mandate encryption for sensitive data, detailing standards and handling procedures.
- Certificates and reports demonstrating compliance with recognized encryption standards.
- Centralized records of encryption solutions implemented across the organization, including configuration details.
- Integrated data breach response and incident management plans that specify the use of encryption as a protective measure.
- Streamlined training documentation for all employees on data protection and encryption best practices."
EEE-075,Malware and Mobile Code Defense Strategy Documents,"- Policies and procedures for defending against malware and malicious mobile code, including prevention, detection, and response strategies.
- Configuration records for anti-malware tools and systems, showing protective measures in place.
- Logs and reports from anti-malware solutions, documenting detections and actions taken.
- Post-incident analysis documents that evaluate the response to malware incidents and the effectiveness of defense mechanisms."
EEE-076,Network Infrastructure and Access Control Documentation,"- Network architecture diagrams that detail the infrastructure layout and access control points.
- Configuration management records for network devices, demonstrating the implementation of access controls.
- Audit logs and reports verifying compliance with network access policies and procedures.
- Incident response records showing the effectiveness of network access controls in mitigating unauthorized access."
EEE-077,Physical and Environmental Security Documents,"- Documentation of environmental controls (e.g., fire suppression, climate control) and physical security measures (e.g., access controls, surveillance systems).
- Maintenance and inspection records for environmental and physical security equipment.
- Incident logs related to environmental hazards or physical security breaches, including responses and outcomes.
- Security audit reports evaluating the adequacy of environmental and physical security controls."
EEE-078,Resilience Testing and Infrastructure Redundancy Documentation,"- Documentation of resilience testing plans and procedures, including objectives, scenarios, and expected outcomes.
- Test reports summarizing the results of resilience testing exercises, highlighting strengths and areas for improvement.
- Infrastructure redundancy designs and implementation records, showing failover capabilities and backup systems.
- Change management records documenting updates or enhancements made to improve infrastructure redundancy.
- Stakeholder feedback on the organization's resilience and redundancy capabilities, gathered after testing or actual events."
EEE-079,Capacity Planning and Resource Utilization Documentation,"- Capacity planning strategies and models that forecast infrastructure and resource needs based on business growth and demand.
- Utilization monitoring reports and dashboards that track the usage of IT resources and infrastructure.
- Documentation of actions taken to address capacity constraints or optimize resource utilization.
- Reviews or assessments of capacity planning and utilization monitoring practices, identifying opportunities for optimization."
EEE-080,Intrusion Detection and Prevention Systems (IDPS) Documentation,"- Policies and procedures governing the operation of intrusion detection and prevention systems (IDPS).
- Configuration and management records for IDPS, detailing rule sets, detection mechanisms, and response actions.
- Logs and alerts generated by IDPS, including analysis of detected intrusions and the effectiveness of prevention measures.
- Audit or review reports assessing the coverage, configuration, and effectiveness of intrusion detection and prevention measures."
EEE-081,Incident Analysis and Triage Process Documentation,"- Documentation of standardized processes for analyzing and triaging security incidents, including criteria for categprization and prioritization.
- Logs and reports from incident management systems showing the application of triage processes in real incidents.
- After-action reviews or lessons learned documents from incidents, highlighting the effectiveness of analysis and triage procedures.
- Continuous improvement plans based on feedback and performance metrics from incident analysis activities."
EEE-082,Forensic Data Security and Impact Assessment Documentation,"- Policies and procedures for conducting forensic analysis and assessing the impact of security incidents.
- Records of forensic analysis tools and software licenses, ensuring the availability of necessary resources.
- Documentation of completed forensic analyses, including methodologies, findings, and recommendations for preventing future incidents.
- Training certifications for personnel responsible for forensic analysis and impact assessments.
- Summaries of incident impact assessments presented to management, detailing the consequences and lessons learned."
EEE-083,Incident Escalation and Communication Protocol Documentation,"- Escalation procedures that outline the steps for escalating incidents within the organization, including roles and responsibilities.
- Templates, protocols, and automated tool configurations for internal and external communication during and after security incidents.
- Identified fail-over communication methods.
- Records of incident response exercises testing the escalation and communication processes.
- Incident logs demonstrating the application of escalation and communication protocols in actual incidents.
- Feedback from stakeholders on the effectiveness and clarity of communications during incident response."
EEE-084,Cyber Threat Intelligence Sharing and Distribution Documents,"- Policies and procedures for collecting, analyzing, and distributing cyber threat intelligence within the organization and with external partners.
- Agreements or memberships with threat intelligence sharing platforms or industry groups.
- Records of threat intelligence briefings or alerts issued to relevant stakeholders.
- Evaluations of the threat intelligence program, assessing its contribution to the organization's security posture."
EEE-085,Vulnerability Mitigation and Incident Containment Documentation,"- Procedures for mitigating vulnerabilities and containing incidents to prevent further damage or data loss.
- Documentation of vulnerability scans and assessments, including identified vulnerabilities and mitigation actions taken.
- Incident containment plans, detailing specific containment strategies for different types of security incidents.
- Records of incident response drills or exercises focusing on containment and mitigation strategies.
- Post-incident reports analyzing the effectiveness of containment and mitigation efforts, with recommendations for improvement."
EEE-086,Recovery Strategy and Resilience Plan Documentation,"- Documentation of the organization's recovery strategies, including plans for restoring critical services and operations after an incident.
- Change logs or records showing updates to recovery strategies and resilience plans based on lessons learned from exercises or actual incidents.
- Stakeholder feedback and review summaries that have led to updates in recovery strategies or resilience plans.
- Training session records for staff on updated recovery procedures and resilience measures.
- Audit reports or assessments that have identified areas for improvement in recovery strategies, leading to plan updates."
EEE-087,Security Control and Process Improvement Documents,"- Continuous improvement plans for security controls and processes, detailing objectives, actions, timelines, and responsible parties.
- Budget requests and justifications for improvement recommendations.
- Documentation of security control assessments, including findings and recommendations for enhancements.
- Change management records for updates to security processes and controls, including rationale and outcomes.
- Feedback collection mechanisms and reports from users and stakeholders on security controls, informing improvement plans.
- Performance metrics and monitoring reports that track the effectiveness of security controls and process improvements over time."
EEE-088,Incident Management Role and Training Documentation,"- Role definitions and responsibilities for incident management team members, clearly documented and communicated.
- Training programs and records for individuals involved in incident management, covering their specific roles and responsibilities.
- Incident response exercises or simulations, including role-playing scenarios that reinforce role clarity and preparedness.
- Feedback and evaluation reports from incident management activities, assessing role performance and identifying training needs.
- Organizational charts or matrices that visually represent the incident management structure and roles."
EEE-089,System Sanitization and Restoration Documents,"- Procedures for the sanitization of systems and data to remove sensitive information securely before disposal or repurposing.
- Restoration procedures detailing steps to return systems to operational status after an incident or maintenance.
- Records of system sanitization and restoration activities, including dates, systems involved, and personnel responsible.
- Training records for IT staff on proper sanitization techniques and restoration protocols.
- Compliance reports or certifications demonstrating adherence to industry standards for data sanitization and system restoration."
EEE-090,Security and Resilience Design Standards Documents,"- Official documents outlining security and resilience architectural and design standards that all technology projects and initiatives must adhere to.
- Checklists and templates used during the design phase of projects to ensure compliance with security and resilience standards.
- Records of design review sessions where security and resilience considerations were evaluated and enforced.
- Case studies or examples of projects that successfully implemented these design standards.
- Audit or review reports assessing adherence to security and resilience design standards across projects."
EEE-091,Enterprise Resilience Strategy Documentation,"- Documentation of the enterprise resilience strategy, outlining objectives, programs, and initiatives designed to enhance organizational resilience.
- Records of resilience program meetings, including strategic decisions, program updates, and progress tracking.
- Training and awareness materials developed to promote resilience across the organization.
- Performance metrics and reports evaluating the effectiveness of resilience programs and initiatives.
- Feedback from internal and external stakeholders on the organization's resilience capabilities and areas for improvement."
EEE-092,Business Continuity Strategy and Exercises Documentation,"- Integrated Business Continuity Plans (BCPs) that address various disruption scenarios, informed by Business Impact Analyses (BIAs).
- Documentation of regular BCP reviews, reflecting business changes and new insights.
- Logs from business continuity exercises, including objectives, execution, and actionable feedback.
- Aggregated stakeholder input on the effectiveness and clarity of continuity plans and exercises.
- Audit summaries evaluating the readiness and thoroughness of business continuity measures."
EEE-093,Risk Management Strategy and Framework Documentation,"- Documentation of the organization's risk management strategy and framework, outlining risk identification, assessment, and mitigation processes.
- Records from risk management framework review sessions, including updates made to adapt to new risks or business changes.
- Risk registers or databases tracking identified risks, assessments, and mitigation actions over time.
- Stakeholder reports summarizing the state of risk management within the organization and strategic recommendations.
- External audit or consultant reviews of the risk management framework, providing independent assessments and suggestions for improvement."
EEE-094,Technology and Cybersecurity Risk Appetite Documents,"- Official statements or documents defining the organization's risk appetite specifically related to technology and cybersecurity.
- Board or executive committee meeting minutes discussing and approving the risk appetite statement.
- Guidelines for aligning IT and cybersecurity initiatives with the defined risk appetite.
- Reviews or assessments of projects and initiatives to ensure they are within the organization's technology and cybersecurity risk appetite."
EEE-095,Security Training and Competency Documentation,"- Security awareness and training program documentation, including topics covered, schedules, and target audiences.
- Records of participation and completion for security training sessions, workshops, and e-learning modules.
- Assessments or quizzes measuring employee understanding and retention of security concepts post-training.
- Feedback from employees on the relevance and effectiveness of security training programs.
- Continuous improvement plans for security training, based on feedback, emerging threats, and organizational changes."
EEE-096,Incident Detection and Response Coordination Documentation,"- Incident detection policies and procedures that define how potential security events are identified and analyzed.
- Coordination plans that outline roles and communication protocols for responding to incidents.
- Logs and reports from detection tools and systems, including details of incident analysis and response actions.
- Training and exercise records for response teams, demonstrating preparedness and coordination effectiveness.
- After-action reports and lessons learned from incident responses, used to improve future coordination."
EEE-097,Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
EEE-098,Customer Data Privacy and Compliance Documents,"- Privacy policies and procedures that detail how customer data is protected and used in compliance with relevant laws and regulations.
- Records of privacy compliance audits, including findings and corrective actions taken.
- Documentation of customer consent and data handling practices, demonstrating adherence to privacy principles.
- Training records for staff on data privacy regulations and customer data handling procedures.
- Incident logs related to customer data privacy, including any breaches and the organization's response."
EEE-099,Technology Delivery and Quality Assurance Documentation,"- Project delivery plans that include quality assurance checkpoints and acceptance criteria.
- Quality assurance policies and procedures for technology projects, ensuring deliverables meet specified requirements.
- Records of testing and validation activities, including test plans, results, and defect tracking.
- Post-project reviews or retrospectives focusing on delivery quality and lessons learned."
EEE-100,Resilience Testing and Business Impact Documentation,"- Resilience testing plans and procedures, including objectives and expected outcomes.
- Business Impact Assessment (BIA) reports that evaluate the potential effects of disruptions on business operations.
- Records of resilience testing exercises, including scenarios, execution, and lessons learned.
- Documentation of updates to resilience plans based on testing outcomes and BIA findings.
- Stakeholder feedback on the organization's resilience and the impact of potential business disruptions."
EEE-101,Cyber Threat Intelligence Sharing Documentation,"- Cyber threat intelligence policies that outline the process for collecting, analyzing, and sharing threat information.
- Records of threat intelligence received and shared with internal stakeholders and external partners.
- Analysis reports based on threat intelligence that inform security strategies and operations.
- Training records for security analysts on threat intelligence tools and analysis techniques.
- Membership or participation records in threat intelligence sharing platforms or industry groups."
EEE-102,Vulnerability Disclosure Management Documentation,"- Vulnerability disclosure policies that define how external reports of potential vulnerabilities are managed and addressed.
- Documentation of vulnerability disclosures received, including the organization's response and remediation efforts.
- Communication records with security researchers or reporting parties regarding vulnerability disclosures.
- Reports summarizing the outcomes of vulnerability disclosures and the effectiveness of the response process."
EEE-103,Security Policy Review and Update Documents,"- Security policy review schedules and procedures, including criteria for making updates.
- Change logs or records documenting updates to security policies, including reasons for changes.
- Meeting minutes from stakeholder meetings, capturing input on proposed policy updates.
- Training records for staff on updated security policies and new security requirements.
- Audit or assessment reports that have led to revisions of security policies."
EEE-104,Risk Tolerance and Management Practice Integration Documentation,"- Documentation of the organization's risk tolerance levels and how these are integrated into risk management practices.
- Records of risk assessments that consider the organization's risk tolerance when determining mitigation strategies.
- Reports to management and the board on risk exposures in relation to the defined risk tolerance.
- Reviews of risk management practices to ensure they remain aligned with the organization's risk tolerance."
EEE-105,Stakeholder Obligation Compliance and Sector-Specific Risk Analysis Documents,"- Policies and procedures that address stakeholder obligations and sector-specific risks.
- Sector-specific risk analysis reports that identify unique risks and compliance requirements.
- Documentation of compliance audits or assessments, including findings and actions taken to address gaps.
- Agreements or contracts with stakeholders that include compliance with sector-specific obligations and standards."
EEE-106,Recovery Objectives Critical Infrastructure Documentation,"- Documentation of recovery objectives for critical infrastructure and how these align with business continuity goals.
- Critical infrastructure analysis reports that assess the resilience and recovery capabilities of essential systems.
- Records of alignment discussions or decisions between recovery objectives and business needs.
- Audit reports evaluating the alignment of recovery objectives with the criticality of infrastructure components."
EEE-107,Data Recovery and Information Flow Mapping Documentation,"- Data recovery strategy documents that outline procedures for restoring lost or corrupted data.
- Information flow maps that illustrate how data moves through the organization, informing recovery planning.
- Test reports from data recovery exercises, demonstrating the ability to restore data in line with recovery strategies.
- Documentation of changes to data recovery strategies based on new business processes or technologies.
- Training records for IT staff on data recovery procedures and information flow considerations."
EEE-108,Background and Screening Checks Documents,"- Policies and procedures for conducting background checks and screening of employees, contractors, and third parties.
- Records of completed background checks and screenings, including dates and outcomes.
- Compliance reports verifying that background and screening practices meet legal and regulatory requirements.
- Audit trails showing the integration of background check results into hiring or contracting decisions."
EEE-109,Email Protection Mechanism Documents,"- Policies and procedures for securing email communications, including spam filters, phishing detection, and encryption.
- Configuration records for email protection systems, demonstrating the implementation of security measures.
- Training records for employees on recognizing and reporting suspicious emails and following email security best practices.
- Incident logs related to email security threats, including actions taken and resolutions.
- Audit or review reports assessing the effectiveness of email protection mechanisms and identifying areas for improvement."
EEE-110,Data Recovery and Integrity Assurance Documentation,"- Data recovery plans that describe the procedures for restoring critical data and systems after an incident, including roles and responsibilities.
- Policies and procedures for regular data integrity checks, ensuring the accuracy and completeness of data both under normal operations and during recovery.
- Documentation of backup and restoration procedures, including backup schedules, data retention policies, and the scope of backup data.
- Logs and reports from data integrity and recovery tests, demonstrating successful restoration and validation of data against integrity standards.
- Checklists, tools, and software used for conducting data integrity checks and for verifying successful data recovery during planned exercises or in response to actual incidents.
- Service level agreements (SLAs) with third-party vendors that outline responsibilities and expectations for data recovery services, including timeframes for restoration and data integrity guarantees.
- Training materials and records for IT staff and relevant personnel on data recovery and integrity maintenance procedures, including any certifications or acknowledgments of training completion.
- Audit reports or reviews that assess the organization's data recovery and integrity assurance practices, including any findings and subsequent corrective actions taken to improve data management.
- After-action reports and lessons learned from recovery exercises or actual data loss incidents, used to refine and improve recovery strategies and integrity verification processes."
EEE-111,Disaster Recovery and Validation Program Documentation,"- Disaster Recovery (DR) plans outlining specific recovery steps for Information Technology (IT) systems and data.
- Schedules and results from regular DR testing, ensuring plans are actionable and up-to-date.
- Change management records for DR plans, capturing updates and justifications.
- Records capturing lessons-learned from exercises and the updating of documentation and plans to reflect the improvements.
- Training and certification records for personnel on DR roles and procedures.
- Review reports assessing DR plan alignment with overall business recovery objectives and Business Impact Analyses (BIAs)."
EEE-112,System Development and Lifecycle Integrity Documentation,"- System development lifecycle (SDLC) policies and procedures that ensure integrity throughout the development process.
- Documentation of code reviews, testing results, and quality assurance measures taken during development.
- Version control records and release notes for software development projects.
- Training records for developers on secure coding practices and lifecycle management.
- Audit reports evaluating the adherence to SDLC processes and the integrity of development practices.
- Application Security standard, policies, procedures"
