               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa)
#data_protection,"PR.PS-01.05: Acceptable encryption standards, methods, and management practices are established in accordance with defined industry standards.",PROTECT / Platform Security / Configuration Management,PR.PS-01.05,085.197
#data_protection,PR.PS-01.06: The organization employs defined encryption methods and management practices commensurate with the criticality of the information being protected and the inherent risk of the technical environment where used.,PROTECT / Platform Security / Configuration Management,PR.PS-01.06,085.198
#data_protection,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.08,085.200
#data_protection,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.03,088.208
#data_protection,"PR.PS-06.04: Systems development and testing tools, processes, and environments employ security mechanisms to protect and improve the integrity and confidentiality of both the SDLC process and the resulting product (e.g., secured code repositories, segmented environments, automated builds, etc.)",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.04,090.215
#data_protection,"PR.PS-06.10: The organization establishes policies and procedures for the secure design, configuration, modification, and operation of databases, data stores, and data analytics platforms consistent with the criticality of the data being managed.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.10,090.221
#data_protection,PR.IR-01.06: The organization's production and non-production environments and data are segregated and managed to prevent unauthorized access or changes to the information assets.,PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.06,093.229
#data_protection,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.03,099.238
#data_protection,"DE.CM-01.05: The organization implements measures to detect and block access to unauthorized, inappropriate, or malicious websites and services (e.g. social media, messaging, file sharing).",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.05,099.240
#data_protection,"DE.CM-01.06: The organization employs deception techniques and technologies (e.g., honeypots) to detect and prevent a potential intrusion in its early stages to support timely containment and recovery.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.06,099.241
#data_protection,"DE.CM-06.01: The organization reviews, documents, authorizes, and monitors all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs).",DETECT / Continuous Monitoring / Service Provider Monitoring,DE.CM-06.01,102.246
#data_protection,"DE.CM-09.01: The organization uses integrity checking mechanisms to verify software, firmware and information integrity and provenance (e.g., checksums, Software Bill of Materials, etc.)","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.01,103.248
#data_protection,DE.CM-09.02: The organization uses integrity checking mechanisms to verify hardware integrity.,"DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.02,103.249
#data_protection,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.01,106.253
#data_protection,"RC.RP-05.02: Business, technology, cybersecurity, and relevant third-party stakeholders confirm that systems, data, and services have been returned to functional and secure states and that a stable operational status has been achieved.",RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration,RC.RP-05.02,135.282
#data_protection,"EX.CN-01.03: Contracts with suppliers address, as relevant to the product or service, the implications of foreign-based third or fourth parties, to include the relevance of local laws and regulations, access to facilities and data, limitations on cross-border data transfer, and language and time zone management.",EXTEND / Third-Party Contracts and Agreements / Contract General Requirements,EX.CN-01.03,147.301
#data_protection,"EX.TR-02.01: Upon termination of a third-party agreement, the organization ensures that all technical and security matters (access, connections, etc.), business matters (service, support, and ongoing relationship), property matters (data, physical, and intellectual), and legal matters are addressed in a timely manner.",EXTEND / Relationship Termination / Termination Practices,EX.TR-02.01,154.318
#data_retention,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.03,053.107
#data_retention,"ID.AM-08.05: The organization defines and implements standards and procedures, consistent with its data retention policy, for destroying or securely erasing data, media, and storage devices when the data is no longer needed.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.05,053.109
#data_retention,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.01,088.206
#data_retention,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,PR.PS-04.03,088.208
#dependency_management,"GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.01,006.007
#dependency_management,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.02,006.008
#dependency_management,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.04,006.010
#dependency_management,"GV.OC-05.01: The organization identifies, assesses, and documents the key dependencies, interdependencies, and potential points of failure to support the delivery of critical services (e.g., systems, business processes, workforce, third parties, facilities, etc.)",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.01,007.011
#dependency_management,"GV.OC-05.02: The organization has prioritized its external dependencies according to their criticality to the supported enterprise mission, business functions, and to the financial services sector.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.02,007.012
#dependency_management,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04,007.014
#dependency_management,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,009.019
#dependency_management,"GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.02,013.029
#dependency_management,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02,019.042
#dependency_management,"GV.SC-01.02: The organization regularly assesses the risk of its ongoing use of third parties in aggregate, considering factors such as critical service dependencies, vendor concentration, geographical/geopolitical exposure, fourth-party impacts, and financial sector co-dependencies.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,GV.SC-01.02,031.076
#dependency_management,"GV.SC-04.01: The organization regularly identifies, inventories, and risk-ranks third-party relationships that are in place, and addresses any identified relationships that were established without formal approval.",GOVERN / Supply Chain Risk Management / Supplier Identification & Prioritization,GV.SC-04.01,034.079
#dependency_management,"GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration,GV.SC-08.01,035.080
#dependency_management,"GV.SC-09.01: Consideration is specifically given to the implications of organizational third-party dependence, requirements, contracts, and interactions in the design, operation, monitoring, and improvement of policies, procedures, and controls to ensure the fulfillment of business requirements within risk appetite.",GOVERN / Supply Chain Risk Management / Supply Chain Security Practice Integration,GV.SC-09.01,036.081
#dependency_management,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.02,051.103
#dependency_management,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",IDENTIFY / Asset Management / Data & Metadata Inventory,ID.AM-07.01,052.104
#dependency_management,"ID.IM-02.08: The organization tests and exercises, independently and in coordination with other critical sector partners, its ability to support sector-wide resilience in the event of extreme financial stress or the instability of external dependencies, such as connectivity to markets, payment systems, clearing entities, messaging services, etc.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.08,065.150
#disaster_recovery,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03,007.013
#disaster_recovery,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04,007.014
#disaster_recovery,ID.RA-02.02: The organization shares authorized information on its cyber resilience framework and the effectiveness of protection technologies bilaterally with trusted external stakeholders to promote the understanding of each party’s approach to securing systems.,IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.02,056.115
#disaster_recovery,"ID.RA-05.04: The organization uses scenario planning, table-top-exercises, or similar event analysis techniques to identify vulnerabilities and determine potential impacts to critical infrastructure, technology, and business processes.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.04,059.124
#disaster_recovery,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.04,065.146
#disaster_recovery,"ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.05,065.147
#disaster_recovery,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06,065.148
#disaster_recovery,"ID.IM-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management are involved in testing as part of a crisis management team and are informed of test results.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.07,065.149
#disaster_recovery,"ID.IM-02.08: The organization tests and exercises, independently and in coordination with other critical sector partners, its ability to support sector-wide resilience in the event of extreme financial stress or the instability of external dependencies, such as connectivity to markets, payment systems, clearing entities, messaging services, etc.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.08,065.150
#disaster_recovery,"ID.IM-02.09: Corrective actions for gaps identified during security-related, incident management, response plan, and disaster recovery testing are retested and validated, or have a formal risk acceptance or risk exception.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.09,065.151
#disaster_recovery,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.01,067.154
#disaster_recovery,"ID.IM-04.03: Recovery plans include service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.03,067.156
#disaster_recovery,"ID.IM-04.04: The organization has plans to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, supported by corresponding recovery point objectives.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.04,067.157
#disaster_recovery,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.05,067.158
#disaster_recovery,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08,067.161
#disaster_recovery,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.03,078.181
#disaster_recovery,"PR.DS-11.01: The organization defines and implements standards and procedures for configuring and performing backups and data replications, including defining backup requirements by data/application/infrastructure criticality, segregating (e.g., air-gapping) and securing backups, verifying backup integrity, and performing backup restoration testing.",PROTECT / Data Security / Data Backup,PR.DS-11.01,083.192
#disaster_recovery,"PR.IR-03.01:  The organization implements mechanisms (e.g., failsafe, load balancing, hot swaps, redundant equipment, alternate services, backup facilities, etc.) to achieve resilience requirements in normal and adverse situations.",PROTECT / Technology Infrastructure Resilience / Resilience Measures,PR.IR-03.01,095.233
#disaster_recovery,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.02,125.273
#disaster_recovery,"RC.RP-01.01: The organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations.",RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution,RC.RP-01.01,131.276
#disaster_recovery,"RC.RP-02.01: The organization's response plans are used as informed guidance to develop and manage task plans, response actions, priorities, and assignments for responding to incidents, but are adapted as necessary to address incident-specific characteristics.",RECOVER / Incident Recovery Plan Execution / Recovery Action Performance,RC.RP-02.01,132.277
#disaster_recovery,"RC.RP-02.02: Recovery plans are executed by first resuming critical services and core business functions, while minimizing any potential concurrent and widespread interruptions to interconnected entities and critical infrastructure, such as energy and telecommunications.",RECOVER / Incident Recovery Plan Execution / Recovery Action Performance,RC.RP-02.02,132.278
#disaster_recovery,"RC.RP-03.01: Restoration steps include the verification of backups, data replications, system images, and other restoration assets prior to continued use.",RECOVER / Incident Recovery Plan Execution / Backup & Restoration Asset Integrity,RC.RP-03.01,133.279
#disaster_recovery,"RC.RP-04.01: Restoration steps include the verification of data integrity, transaction positions, system functionality, and the operation of security controls by appropriate organizational stakeholders and system owners.",RECOVER / Incident Recovery Plan Execution / Post-Incident Operational Norms,RC.RP-04.01,134.280
#disaster_recovery,"RC.RP-05.02: Business, technology, cybersecurity, and relevant third-party stakeholders confirm that systems, data, and services have been returned to functional and secure states and that a stable operational status has been achieved.",RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration,RC.RP-05.02,135.282
#disaster_recovery,"RC.CO-03.01: The organization timely involves and communicates the recovery activities, procedures, cyber risk management issues to the governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.01,138.284
#disaster_recovery,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02,138.285
#disaster_recovery,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RECOVER / Incident Recovery Communication / Public Information Sharing,RC.CO-04.01,139.286
#disaster_recovery,"EX.DD-03.02: The organization reviews, evaluates, and risk assesses a prospective critical third party's business continuity program, to include business impact analyses, risk assessments, continuity plans, disaster recovery plans, technology resilience architecture, and response and recovery plans, test plans, and test results.",EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Due Diligence,EX.DD-03.02,144.295
#disaster_recovery,"EX.CN-02.03: Contracts with suppliers address, as relevant to the product or service, the supplier's obligation to maintain and regularly test a business continuity program and disaster recovery capability the meets the defined resilience requirements of the organization.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.03,148.304
#disaster_recovery,"EX.CN-02.04: Contracts with suppliers address, as relevant to the product or service, the supplier's obligation to regularly participate in joint and/or bilateral recovery exercises and tests, and to address significant issues identified through recovery testing.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.04,148.305
#due_diligence,"GV.SC-01.02: The organization regularly assesses the risk of its ongoing use of third parties in aggregate, considering factors such as critical service dependencies, vendor concentration, geographical/geopolitical exposure, fourth-party impacts, and financial sector co-dependencies.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,GV.SC-01.02,031.076
#due_diligence,"EX.DD-01.01: Documented procurement plans are developed for initiatives involving elevated business, technical, or cybersecurity risk in order to establish criteria for the evaluation and selection of a supplier, and any special requirements for organizational preparation, supplier due diligence, and contract terms.",EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.01,142.287
#due_diligence,"EX.DD-02.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to conduct third party due diligence and risk assessment consistent with the procurement plan and commensurate with level of risk, criticality, and complexity of each third-party relationship.",EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.01,143.290
#due_diligence,"EX.DD-02.03: The organization reviews and evaluates documentation, such as financial statements, independent audit reports, pooled/shared assessments, control test reports, SEC filings, and past and pending litigation, to the extent required to determine a prospective critical third party's soundness as a business and the quality and sustainability of its internal controls.",EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.03,143.292
#due_diligence,"EX.DD-02.04: The organization reviews and assesses the prospective third party's controls for managing its suppliers and subcontractors (fourth and nth parties), any proposed role fourth and nth parties will play in delivering the products or services, and any specific fourth- and nth-party controls or alternative arrangements the organization may require to protect its interests.",EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.04,143.293
#due_diligence,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Due Diligence,EX.DD-03.01,144.294
#due_diligence,"EX.DD-03.02: The organization reviews, evaluates, and risk assesses a prospective critical third party's business continuity program, to include business impact analyses, risk assessments, continuity plans, disaster recovery plans, technology resilience architecture, and response and recovery plans, test plans, and test results.",EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Due Diligence,EX.DD-03.02,144.295
#due_diligence,"EX.DD-03.03: The organization reviews, evaluates, and risk assesses a prospective critical third party's incident response program, to include monitoring and alerting capabilities, incident reporting procedures and protocols, and capabilities for event analysis, problem resolution, and forensic investigation.",EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Due Diligence,EX.DD-03.03,144.296
#due_diligence,"EX.CN-01.02: Contracts with suppliers address, as relevant to the product or service, the supplier's requirements for managing its own suppliers and partners (fourth parties) and the risks those fourth parties may pose to the third party and to the organization, to include fourth party due diligence, limitations on activities or geography, monitoring, notifications, liability and indemnifications, etc.",EXTEND / Third-Party Contracts and Agreements / Contract General Requirements,EX.CN-01.02,147.300
#due_diligence,"EX.CN-02.01: The organization's contracts require third-parties to implement minimum technology and cybersecurity management requirements, to maintain those practices for the life of the relationship, and to provide evidence of compliance on an ongoing basis.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.01,148.302
#due_diligence,"EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.02,148.303
#due_diligence,"EX.CN-02.03: Contracts with suppliers address, as relevant to the product or service, the supplier's obligation to maintain and regularly test a business continuity program and disaster recovery capability the meets the defined resilience requirements of the organization.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.03,148.304
#due_diligence,"EX.CN-02.04: Contracts with suppliers address, as relevant to the product or service, the supplier's obligation to regularly participate in joint and/or bilateral recovery exercises and tests, and to address significant issues identified through recovery testing.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.04,148.305
#due_diligence,"EX.MM-01.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to manage and monitor its third-party relationships to a degree and extent commensurate with the risk each third party poses to the organization and the criticality of the third party's products, services, and/or relationship to the organization.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.01,150.306
#due_diligence,"EX.MM-01.02: The organization regularly evaluates its third party relationships to determine if changes in the organization's circumstances, objectives, or third party use warrant a change in a third party's risk rating (e.g., a less critical third-party relationship evolves into being a critical relationship).",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.02,150.307
#due_diligence,"EX.MM-01.03: The organization monitors for and regularly evaluates changes in a critical third party's business posture that could pose adverse risk to the organization (e.g., financial condition, reputation, adverse news, compliance/regulatory issues, key personnel, business relationships, consumer complaints, etc.)",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.03,150.308
#due_diligence,"EX.MM-01.04: The organization regularly assesses critical third party adherence to service level agreements, product specifications, performance metrics, resource level/skill commitments, and quality expectations; addresses performance issues; and exercises contract penalties or credits as warranted.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.04,150.309
#due_diligence,"EX.MM-01.05: The organization regularly assesses a critical third party's program and ability to manage its own suppliers and partners (fourth and nth parties) and the risks those fourth and nth parties may pose to the third party and to the organization (e.g., cybersecurity supply chain risk, concentration risk, reputation risk, foreign-party risk, etc.)",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.05,150.310
#due_diligence,"EX.MM-01.06: The organization regularly reviews the foreign-based operations and activities of a critical third party, or its critical fourth parties, to confirm contract controls are maintained and compliance requirements are managed.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.06,150.311
#due_diligence,EX.MM-02.01: The organization conducts regular third-party reviews for critical vendors to validate that requisite security and contractual controls are in place and continue to be operating as expected.,EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,EX.MM-02.01,151.312
#due_diligence,"EX.MM-02.02: A process is in place to confirm that the organization's critical third-party service providers maintain their business continuity programs, conduct regular resiliency testing, and participate in joint and/or bilateral recovery exercises and tests.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,EX.MM-02.02,151.313
#due_diligence,"EX.TR-01.01: The organization establishes contingencies to address circumstances that might put a vendor out of business or severely impact delivery of services to the organization, sector-critical systems, or the financial sector as a whole.",EXTEND / Relationship Termination / Termination Planning,EX.TR-01.01,153.315
#due_diligence,EX.TR-01.02: The organization periodically identifies and tests alternative solutions in case a critical external partner fails to perform as expected.,EXTEND / Relationship Termination / Termination Planning,EX.TR-01.02,153.316
#due_diligence,"EX.TR-01.03: The organization has a documented third-party termination/exit plan, to include procedures for timely removal of the third-party access, return of data and property, personnel disposition, and transition of services and support.",EXTEND / Relationship Termination / Termination Planning,EX.TR-01.03,153.317
#due_diligence,"EX.TR-02.01: Upon termination of a third-party agreement, the organization ensures that all technical and security matters (access, connections, etc.), business matters (service, support, and ongoing relationship), property matters (data, physical, and intellectual), and legal matters are addressed in a timely manner.",EXTEND / Relationship Termination / Termination Practices,EX.TR-02.01,154.318
#emerging_technologies,"GV.RM-07.01: The organization has mechanisms in place to ensure that strategies, initiatives, opportunities, and emerging technologies (e.g., artificial intelligence, quantum computing, etc.) are evaluated both in terms of risks and uncertainties that are potentially detrimental to the organization, as well as potentially advantageous to the organization (i.e., positive risks).",GOVERN / Risk Management Strategy / Strategic Opportunities,GV.RM-07.01,015.031
#emerging_technologies,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.01,016.032
#emerging_technologies,"ID.RA-01.02: The organization's business units ensure that information regarding cyber risk is shared with the appropriate level of senior management in a timely manner, so that they can address and respond to emerging cyber risk.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.02,055.112
#emerging_technologies,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.01,056.114
#emerging_technologies,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08,067.161
#emerging_technologies,"PR.AT-01.04: As new technology is deployed or undergoes change that also requires changes in practices, all impacted personnel (e.g., end-users, developers, operators, etc.) are trained on the new system and any accompanying technology and cybersecurity risks.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.04,077.178
#emerging_technologies,"PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.07,093.230
#encryption,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.01,080.187
#encryption,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01,081.190
#encryption,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01,082.191
#encryption,"PR.PS-01.05: Acceptable encryption standards, methods, and management practices are established in accordance with defined industry standards.",PROTECT / Platform Security / Configuration Management,PR.PS-01.05,085.197
