CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,,,,,
013.028,GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.01,Risk monitoring and escalation,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",Yes,Yes,Yes,Yes,To Be Assessed,,,"When technology, cyber, and/or third-party risks that exist within the organization exceeds the risk appetite, there should be a defined process to elevate this to management's attention. This process should be understood by management and employees on what steps need to be taken to identify risks and the appropriate methods and channels to escalate potential issues to appropriate management and stakeholders. 
Responses should include a description of the processes in place to identify, monitor, report, and escalate technology, cyber, and third-party risks. Describe how identified risks are rated, and for those that exceed tolerance, how are they escalated. ","EEE-017: Third-Party Risk Management and Communication Documents
EEE-044: Security Incident and Event Management Documentation
EEE-047: Vulnerability Management and Remediation Strategy Documentation
EEE-068: Threat Monitoring and Detection Program Evaluation Documentation
EEE-097: Third-Party Risk Management Documentation
EEE-102: Vulnerability Disclosure Management Documentation",#risk_appetite_/_tolerance | #risk_management | #third_party_risk_management | #supply_chain_management
013.029,GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.02,Third-party incident coordination,"GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",Yes,Yes,Yes,Yes,To Be Assessed,,,"As referenced in EX.CN-02.01, the organization has documented minimum cybersecurity requirements for third parties. Describe how minimum cybersecurity requirements for critical third parties include how the organization and its suppliers and partners will communicate and coordinate in times of emergency. Provide detail for each of the four areas highlighted in the full Diagnostic Statement. The organization’s incident response program should address notification and communication with third parties regarding incidents at the third party that might impact the organization. Similarly, contracts with third parties should stipulate incident reporting requirements to ensure there are clearly documented processes and accountability for communicating and coordinating during times of emergencies. ","EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-020: Vendor Contingency and Transition Planning Documents
EEE-021: Third-Party Cybersecurity and Continuity Assessment Documentation
EEE-025: Vendor Contingency and Risk Mitigation Documentation
EEE-026: Third-Party Termination and Decommissioning Documentation
EEE-097: Third-Party Risk Management Documentation",#contract_management | #dependency_management | #third_party_risk_management | #supply_chain_management
014.030,GOVERN / Risk Management Strategy / Standardized Risk Management Method,GV.RM-06.01,Risk management processes,"GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Technology and cybersecurity-related risks should be identified, reviewed, and analyzed as part of the organization’s risk management processes. New products and services, as well as outsourced relationships, have the potential of introducing new or expanding existing technology and cybersecurity risks. Such risks should be evaluated to determine whether appropriate risk management processes are in place. On a regular basis, senior management should review and update risk management standards, practices, and procedures to be reflective of new technologies, products, services, and interdependencies (e.g., AI and quantum risks, cloud, and cloud third parties). 
In addition, the threat environment is highly dynamic and prominent threats can necessitate revisiting these technology and cybersecurity risk management and risk assessments. Risk assessments should be updated with the most current information regarding widely known risks and risk management practices to assist management and the board in making informed decisions.
Provide evidence that the technology and cyber risk assessment processes and methodologies are documented and updated regularly. Demonstrate how risks are routinely addressed through management reporting of current and/or top and emerging risks within the organization to the Board and/or relevant committee (e.g., Board Risk Committee). Provide evidence that a technology and cybersecurity risk update is routinely provided by management to the Board Risk Committee. ","EEE-004: Risk Management Framework and Reporting Documents
EEE-009: Audit and Remediation Documentation
EEE-046: Risk Assessment and Threat Analysis Documentation
EEE-047: Vulnerability Management and Remediation Strategy Documentation
EEE-050: Control Assessment and Testing Documentation
EEE-093: Risk Management Strategy and Framework Documentation",#enterprise_risk_management | #review_assessment_and_testing | #risk_appetite_/_tolerance | #risk_management | #threat_management
015.031,GOVERN / Risk Management Strategy / Strategic Opportunities,GV.RM-07.01,Negative and positive risk consideration,"GV.RM-07.01: The organization has mechanisms in place to ensure that strategies, initiatives, opportunities, and emerging technologies (e.g., artificial intelligence, quantum computing, etc.) are evaluated both in terms of risks and uncertainties that are potentially detrimental to the organization, as well as potentially advantageous to the organization (i.e., positive risks).",Yes,Yes,No,No,Not Applicable,,,"As technologies, products, and services evolve the organization should understand the inherent risks and benefits before adoption. The review and assessment of the potentially detrimental risks against the advantageous benefits (i.e., positive risks) should be considered when evaluating, designing and implementing new technologies, strategies, and initiatives. 
Provide evidence of risk management activities identifying and evaluating the inherent risk of new and existing technologies, initiatives, and potential opportunities. Describe the processes to identify the positive risks that may outweigh the detrimental risks. Describe how analysis determines how technology and cybersecurity activities will be implemented and safeguarded.","EEE-042: Emerging Technology Risk and Opportunity Assessment Documentation
EEE-053: Project Governance, Management, and Quality Assurance Documentation
EEE-090: Security and Resilience Design Standards Documents
EEE-112: System Development and Lifecycle Integrity Documentation",#emerging_technologies | #mission_and_strategy | #risk_management | #threat_management
016.032,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.01,Emerging technologies risk management,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe the continuous analysis of the threat environment and attack vectors for potential outcomes and how this contributes to ongoing investment in emerging technologies to defend against these threats. Provide information on how security is considered throughout project and technology implementation (e.g., risk assessments during procurement planning). 
Describe how technology and cybersecurity activities, such as appropriate risk assessment, business impact, security evaluations, and mitigating controls, are considered before the organization integrates new technologies, and how cybersecurity is considered as part of any approval process for new projects. Provide information on how analysis data links to the various risk programs, updating of policies, and standards. Describe how risk management frameworks are adapted to deal with emerging technologies (e.g., AI and cloud). ","EEE-023: Third Party Technology Security Assessment and Compliance Documents
EEE-042: Emerging Technology Risk and Opportunity Assessment Documentation
EEE-052: Technology Architecture and Design Documentation
EEE-112: System Development and Lifecycle Integrity Documentation",#emerging_technologies | #mission_and_strategy | #risk_management | #threat_management
016.033,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.02,Project and procurement risk management,"GV.RM-08.02: Technology and cybersecurity risk management frameworks are applied to all technology projects and procurements to ensure that security requirements (e.g., data confidentiality, access control, event logging, etc.) are addressed consistently from project onset.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Any time new technologies, products, services, connections or relationships are added to the existing business environment, management should be responsible for assessing potential risk elevation, if any, and the need for additional mitigating controls. 
Provide information on how the organization applies the cyber risk management framework to all technology projects. Describe how all projects follow a documented framework and how the framework assists project managers, project teams, and security teams to establish the documentation and governance required for the project. ","EEE-023: Third Party Technology Security Assessment and Compliance Documents
EEE-052: Technology Architecture and Design Documentation
EEE-099: Technology Delivery and Quality Assurance Documentation
EEE-112: System Development and Lifecycle Integrity Documentation",#change_management | #review_assessment_and_testing | #risk_management | #security_baselines
016.034,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.03,Standard practices use,"GV.RM-08.03: The organization defines, maintains, and uses technical security standards, architectures, processes or practices (including automated tools when practical) to ensure the security of its applications and infrastructure.",Yes,Yes,Yes,No,Not Applicable,,,"Provide information on the use of technical security standards, architectures, processes, and practices to ensure the security of applications and infrastructure. Include evidence of technical industry standards used throughout technology and cybersecurity risk management (e.g., SABSA, NIST 800-53, ISO 27001, etc.) Describe and evaluate how these are defined and maintained.","EEE-023: Third Party Technology Security Assessment and Compliance Documents
EEE-036: Vulnerability Scanning and Patch Management Documentation
EEE-039: Malware Protection and Incident Detection Documentation
EEE-052: Technology Architecture and Design Documentation
EEE-055: Network and System Segmentation Implementation Documentation
EEE-056: Operational Technology and IoT Security Documentation
EEE-057: Remote Access Security and Management Documentation
EEE-074: Data Protection and Encryption Documentation
EEE-090: Security and Resilience Design Standards Documents
EEE-112: System Development and Lifecycle Integrity Documentation",#ciso | #compliance | #industry_standards | #policy_management | #review_assessment_and_testing | #security_baselines
016.035,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.04,Technology architecture governance,"GV.RM-08.04: The organization integrates the use of technology architecture in its governance processes to support consistent approaches to security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning.",Yes,Yes,Yes,No,Not Applicable,,,"The organization’s technology architecture should be integrated within governance processes to streamline and standardize the risk management activities and support security of the organization’s technology. Incorporating the governance with the technology architecture will allow organizations to identify and monitor risks, and develop and implement solutions consistently and within a holistic view. The organization should incorporate governance over the security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning. 
Responses should provide information on how technology architecture is used to ensure security and technology design, third party integration, new technology consideration and adoption, investment and procurement decisioning have consistent organizational governance processes. Describe how the organization consistently manages risk and governs these aspects. ","EEE-052: Technology Architecture and Design Documentation
EEE-053: Project Governance, Management, and Quality Assurance Documentation",#architecture | #mission_and_strategy
016.036,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.05,Technology architecture management processes,"GV.RM-08.05: The technology architecture and associated management processes should be comprehensive (e.g., consider the full life cycle of infrastructure, applications, emerging technologies, and relevant data) and designed to achieve security and resilience commensurate with business needs.",Yes,Yes,No,No,Not Applicable,,,"Describe the organization’s governance and management processes used to oversee and implement technology (e.g., infrastructure, applications, emerging technologies, and relevant data). Provide details of how the organization identifies, implements, oversees, manages, and monitors security and resilience requirements within the business and IT environments about how architectures are integrated into these processes.","EEE-042: Emerging Technology Risk and Opportunity Assessment Documentation
EEE-052: Technology Architecture and Design Documentation
EEE-112: System Development and Lifecycle Integrity Documentation",#architecture | #mission_and_strategy
016.037,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.06,Program and project governance,"GV.RM-08.06: Technology programs and projects are formally governed and stakeholder engagement is managed to facilitate effective communication, awareness, credible challenge, and decision-making.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Organizations should establish roles and responsibilities for governance and oversight of the organizations technology programs and projects. The governance should provide credible challenge to the business decisions and operations, facilitate effective communication and reporting structure, and provide awareness of risks, threats, and opportunities. Organizations should organize technology programs and projects to align with stakeholder needs. Program management processes should be in place to regularly communicate to stakeholders on status and progress within expected timeframes, and an agreed upon budget. Organizations should engage with stakeholders to establish priorities and trade-offs between desired functionality and ongoing financial and time investment. 
Describe the organization’s project management processes consisting of project initiation, planning, execution, and oversight including stakeholder engagement. ","EEE-053: Project Governance, Management, and Quality Assurance Documentation
EEE-054: Technology Service Performance and Support Monitoring Documentation
EEE-099: Technology Delivery and Quality Assurance Documentation",#organizational_structure | #staffing_and_resource_management | #training_and_awareness
016.038,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.07,Project management methodology,"GV.RM-08.07: Technology projects follow an established project management methodology to manage delivery and delivery risks, produce consistent quality, and achieve business objectives and value.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should follow a standardized project management methodology from project initialization through completion to provide consistency, reliability, and risk management in project delivery and investments. Project management includes but is not limited to system development and acquisition, business process implementation and uplift, resource allocation, system and infrastructure upgrades and maintenance, risk management and assessments, and investments.
Describe the organizations project management methodology. Include details on how the organization identifies, prioritizes, manages, and implements projects. Provide example of project management activities and tracking throughout all stages of the projects lifecycle.","EEE-003: Strategic Objectives and Planning Documents
EEE-053: Project Governance, Management, and Quality Assurance Documentation
EEE-099: Technology Delivery and Quality Assurance Documentation",#mission_and_strategy | #risk_management
017.039,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.01,Resilience strategy and program,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should have an enterprise-wide resilience strategy and program because risks in one part of the organization could expose other parts of the organization to harm. Resilience is the ability of an organization to recover from a significant disruption and resume critical operations or operate within a degraded and disrupted operational environment. The enterprise-wide resilience strategy should be incorporated into the overall business strategy and risk management of the organization to ensure consistent, holistic, and integrated response to enterprise operational threats and events. Describe the enterprise-wide cyber resilience (including business continuity, incident response, disaster recovery, and architecture) strategy and program.","EEE-001: Cybersecurity and IT Strategy Documents
EEE-012: Critical Business Process and Recovery Documentation
EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-016: Recovery Objectives and Strategic Alignment Documentation
EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-058: Resilience Mechanism Validation and Feedback Documentation
EEE-059: Enterprise and Cyber Resilience Policy Documentation
EEE-060: Cross-Sector Incident Response Coordination Documents
EEE-061: Service Recovery and Critical Operations Resumption Documentation
EEE-078: Resilience Testing and Infrastructure Redundancy Documentation
EEE-091: Enterprise Resilience Strategy Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-107: Data Recovery and Information Flow Mapping Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#business_impact_analysis | #critical_infrastructure | #mission_and_strategy | #risk_appetite_/_tolerance | #risk_management
017.040,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02,Critical business function resilience,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",Yes,No,No,No,Not Applicable,,,"The organization should be capable of operating critical business functions in the face of adverse incidents and cyber attacks. Provide information on how the resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).","EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-016: Recovery Objectives and Strategic Alignment Documentation
EEE-060: Cross-Sector Incident Response Coordination Documents
EEE-061: Service Recovery and Critical Operations Resumption Documentation
EEE-075: Malware and Mobile Code Defense Strategy Documents
EEE-078: Resilience Testing and Infrastructure Redundancy Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation",#asset_inventory | #asset_management | #business_impact_analysis | #critical_infrastructure | #resilience | #security_logging_monitoring_and_alerting | #technology_availability | #threat_landscape
019.041,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01,Technology and cybersecurity risk management accountability,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The Board (or a board committee) is responsible for the oversight of the organization’s technology and cybersecurity risk management program and should ensure compliance with the requirements of the programs by the organization’s management, employees, and contractors. The appropriate governing authority may differ by organization (e.g., Senior Management, Executive Management, etc.) but refers to those who should be held accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks. Accountability requires clear lines of reporting, clear communications, communication of expectations, and the delegation and judicious use of appropriate authority to ensure appropriate compliance with the organization’s policies, standards, and procedures.
Include information about relevant board and committee charters (e.g., Board Risk Committee Charter), annual approval of the technology and cybersecurity risk management strategies and frameworks (in addition to the information security program), and terms of reference for any other committees as delegated by the board to review/approve. Describe any related regulatory reporting of the technology and cybersecurity risk management strategies and frameworks. Provide organizational charts to identify responsible/accountable executives. ","EEE-001: Cybersecurity and IT Strategy Documents
EEE-030: Board Accountability and Cybersecurity Governance Documentation
EEE-062: Board Oversight and Risk Management Documentation
EEE-063: Cybersecurity and Technology Officer Accountability Documents
EEE-093: Risk Management Strategy and Framework Documentation",#board_or_committee_oversight | #risk_management | #risk_oversight | #roles_and_responsibilities
019.042,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02,Third-party risk management accountability,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The Board (or a board committee) is responsible for the oversight of the organization’s third-party risk management strategy and program and implementing requirements of the program by the organization’s management, employees, and contractors. Significant and critical third party engagements should be reviewed and approved by the governing body (e.g., the board or one of its committees). The appropriate governing authority may differ by organization (e.g., Senior Management, Executive Management, etc.) but refers to those who should be held accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization’s ongoing risks associated with the aggregate and specific use of third parties. The board should review the aggregate use of third parties within the organization’s defined risk appetite and risk tolerance. The organization’s third-party security policies and procedures should address core governance activities such as oversight and accountability. 
Describe how the organization ensures appropriate oversight and compliance with the third-party risk management strategy implementation. Describe how the organization conducts reviews of third-party due diligence to determine if any gaps exist and work towards self-improvement of the program.","EEE-017: Third-Party Risk Management and Communication Documents
EEE-019: Vendor Contract Management and Compliance Oversight Documents
EEE-063: Cybersecurity and Technology Officer Accountability Documents
EEE-097: Third-Party Risk Management Documentation",#board_or_committee_oversight | #dependency_management | #metrics_and_reporting | #risk_management | #risk_oversight | #third_party_risk_management | #supply_chain_management
019.043,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03,Resilience risk management accountability,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The Board (or a board committee) is responsible for the oversight of the organization’s resilience strategy and program and implementing the requirements of the program by the organization’s management, employees, and contractors. The appropriate governing authority may differ by organization (e.g., Senior Management, Executive Management, etc.) but refers to those who should be held accountable for implementing the organization’s resilience strategy, program and managing ongoing resilience risks. Accountability requires clear lines of reporting, clear communications, communication of expectations, and the delegation and judicious use of appropriate authority to ensure appropriate compliance with the organization’s policies, standards, and procedures.
Include information about relevant board and committee charters, annual approval of the resilience strategy and program and terms of reference for any other committees as delegated by the board to review/approve. Describe any related regulatory reporting of the cyber risk management strategy and framework. Provide organizational charts to identify responsible/accountable executives. ","EEE-059: Enterprise and Cyber Resilience Policy Documentation
EEE-062: Board Oversight and Risk Management Documentation
EEE-063: Cybersecurity and Technology Officer Accountability Documents
EEE-091: Enterprise Resilience Strategy Documentation",#board_or_committee_oversight | #resilience | #risk_oversight
019.044,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04,Cybersecurity Officer designation,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Accountability requires clear lines of reporting, clear communication of expectations, and the delegation and judicious use of appropriate authority to ensure compliance with the organization’s policies, standards, and procedures. Provide information on the designated and qualified Cybersecurity Officer (e.g., the Chief Information Security Officer (CISO)) and reporting structure, including the Cybersecurity Officer’s independence and authority to make risk-based decisions and how the Officer reports to the Board. Additionally, provide information on cybersecurity resources, staff, and tools and how those are assessed against the cybersecurity strategy and any other programs of work to ensure alignment and appropriateness. 
Provide information on the budget process being consistent for all businesses and functions across the bank, including the cybersecurity program. For example, describe how software expenses, professional fees, etc. are included in the formal budget processes at both the global and country level. Describe the expenses approval process.","EEE-001: Cybersecurity and IT Strategy Documents
EEE-031: Cybersecurity and Technology Officer Leadership Documentation
EEE-032: Technology and Cybersecurity Personnel Roles and Responsibilities Documentation
EEE-063: Cybersecurity and Technology Officer Accountability Documents
EEE-064: Roles and Responsibilities in Risk Management Documentation
EEE-103: Security Policy Review and Update Documents",#ciso | #mission_and_strategy | #roles_and_responsibilities | #staffing_and_resource_management
019.045,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.05,Technology Officer designation,"GV.RR-01.05: The organization designates a qualified Technology Officer (e.g., CIO or CTO) who is responsible and accountable for developing technology strategy, overseeing and implementing its technology program, and enforcing its technology policy.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Accountability requires clear lines of reporting, clear communication of expectations, and the delegation and judicious use of appropriate authority to ensure compliance with the organization’s policies, standards, and procedures. Provide information on the designated Technology Officer (e.g., CIO or CTO) and reporting structure, including the Technology Officer’s independence and authority to make risk-based decisions and how the Officer reports to the Board. Additionally, provide information on technology resources, staff, and tools and how those are assessed against the technology strategy and any other programs of work to ensure alignment and appropriateness. 
Provide information on the budget process being consistent for all businesses and functions across the organization, including the technology program. Describe how the designated Technology Officer enforces its technology policy. ","EEE-001: Cybersecurity and IT Strategy Documents
EEE-031: Cybersecurity and Technology Officer Leadership Documentation
EEE-032: Technology and Cybersecurity Personnel Roles and Responsibilities Documentation
EEE-063: Cybersecurity and Technology Officer Accountability Documents
EEE-064: Roles and Responsibilities in Risk Management Documentation",#mission_and_strategy | #policy_management | #risk_oversight | #technology_officer
020.046,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01,Cybersecurity roles and responsibilities,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Organizational structure, roles, responsibilities, qualifications, and skill requirements, for levels of authority of the cybersecurity workforce should be clearly established and well-defined especially regarding roles required to handle sensitive data. The roles of personnel (employees and third parties) that implement and directly manage the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed. A shared responsibilities model or similar mechanism should be established to ensure that all appropriate responsibilities are documented, managed, unambiguously assigned, and shared responsibilities are clear between a customer and third party service provider.
Describe the roles and responsibilities throughout the cybersecurity workforce. Describe how management assesses whether the cybersecurity workforce has a reasonable and appropriate level of cybersecurity skills to perform their roles and responsibilities. Provide information related to the roles, responsibilities, and skillsets of personnel who directly manage and oversee the technology, cybersecurity, and resilience programs. Provide information on the role review process and frequency of review. Describe how profiles of specific roles are globally consistent and aligned across the organization. ","EEE-032: Technology and Cybersecurity Personnel Roles and Responsibilities Documentation
EEE-040: Cybersecurity Awareness and Training Program Documentation
EEE-095: Security Training and Competency Documentation",#roles_and_responsibilities | #staffing_and_resource_management
020.047,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02,Threat identification roles and responsibilities,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.",Yes,Yes,Yes,No,Not Applicable,,,"Appropriate staff should be responsible for threat identification, monitoring, detection, and reporting suspicious activity. The organization’s management should define the responsibility and authority of security personnel and system administrators that perform threat identification, monitoring, detection, and event reporting to ensure there is adequate coverage and organizational alignment.  Organizations should establish an organizational unit (e.g., a SOC) that can effectively respond to threats in a timely manner. Organizational coverage and alignment for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes will allow an organization to detect threats early, coordinate responses, effectively act quickly, and improve security posture. Incident response plans should define established escalation protocols and responsibilities for incident management. 
Describe the assigned roles and responsibility in place for threat identification, systematic monitoring, detection, and event reporting processes within the organization. Provide program information where applicable. ","EEE-027: Security Event Detection and Categorization Guidelines
EEE-044: Security Incident and Event Management Documentation
EEE-068: Threat Monitoring and Detection Program Evaluation Documentation
EEE-080: Intrusion Detection and Prevention Systems (IDPS) Documentation",#incident_management | #roles_and_responsibilities | #security_logging_monitoring_and_alerting | #threat_management
020.048,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.03,Resilience program roles and responsibilities,"GV.RR-02.03: Resilience program roles and responsibilities are assigned to management across the organization to ensure risk assessment, planning, testing, and execution coverage for all critical business functions.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization’s resilience program contains clearly defined roles and responsibilities assigned to management and across the organization. Organizational resilience can be achieved by structuring resilience throughout the entire business. The organization may use RACI charts to define leadership, ownership, and accountability of specific roles and responsibilities. Describe how the organization’s personnel know their roles and responsibilities to ensure risk assessment, planning, testing, and execution coverage for all critical business functions to ensure timely recovery and resumption of operations. ","EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-016: Recovery Objectives and Strategic Alignment Documentation
EEE-060: Cross-Sector Incident Response Coordination Documents",#asset_inventory | #asset_management | #business_impact_analysis | #critical_infrastructure | #resilience | #review_assessment_and_testing | #risk_management | #roles_and_responsibilities | #technology_availability | #threat_management
020.049,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.04,Third-party risk management roles and responsibilities,GV.RR-02.04: Roles and responsibilities for the Third-Party Risk Management Program and for each third-party engagement are defined and assigned.,Yes,Yes,Yes,Yes,To Be Assessed,,,"All parts of the organization may be involved in third-party risk management (e.g., legal, IT, business management, etc.). As a result, the organization’s management should ensure that roles and responsibilities are clearly defined and assigned for all aspects of the Third-Party Risk Management Program and for each third-party engagement including initiation of the relationship, ongoing oversight, and termination. Each third party relationship should have a defined responsible business manager assigned for effective oversight. Provide information on the roles and responsibilities for Third-Party Risk Management Program. ","EEE-017: Third-Party Risk Management and Communication Documents
EEE-019: Vendor Contract Management and Compliance Oversight Documents
EEE-097: Third-Party Risk Management Documentation",#roles_and_responsibilities | #third_party_risk_management | #supply_chain_management
020.050,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.05,Physical security roles and responsibilities,GV.RR-02.05: Personnel (employees and third parties) who fulfill the organization’s physical security and cybersecurity objectives understand their roles and responsibilities.,Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization’s management should ensure the organization has sufficient expertise to oversee and manage their physical security and cybersecurity objectives. If there are gaps, management should obtain the needed expertise by outsourcing or improving security training for current security staff. 
Provide information that supports employees and third parties are informed of their roles and responsibilities (e.g., job descriptions). The performance of their responsibilities is measured on how well they performed, with frequent performance management discussions with direct line management, along with documented annual performance reviews.  When outsourced, contractual responsibilities and service level agreements must be clearly defined, and any dependent requirements identified.","EEE-032: Technology and Cybersecurity Personnel Roles and Responsibilities Documentation
EEE-040: Cybersecurity Awareness and Training Program Documentation
EEE-095: Security Training and Competency Documentation",#facilities_management | #physical_security | #roles_and_responsibilities
020.051,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.06,Asset ownership and custodianship,"GV.RR-02.06: Roles and responsibilities for the inventory, ownership, and custodianship of applications, data and other technology assets are established and maintained.",Yes,Yes,Yes,No,Not Applicable,,,"Describe how the organization establishes and maintains roles and responsibilities for the inventory, and ownership of applications, data, and other technology assets. Describe how the organization inventories assets with their assigned ownership and designates and manages roles and responsibilities for the custodianship. Provide information that supports employees are informed of their roles and responsibilities (e.g., job descriptions, designations of ownership on asset inventories). 
Appropriate personnel should be responsible for the inventory, ownership, and custodianship of applications, data, and other technology assets. Describe training for personnel responsible with protecting assets in accordance with its criticality, sensitivity, and usage. Provide information on the role review process and frequency of review. ","EEE-010: IT Asset Management and Business Function Mapping Documentation
EEE-034: Asset Management and Inventory Oversight Documentation",#asset_management | #asset_ownership | #critical_infrastructure | #data_classification | #data_lifecycle | #data_protection | #roles_and_responsibilities
