                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages
009.017,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03,Technology and cybersecurity program objectives,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",EEE-039: Malware Protection and Incident Detection Documentation,"- Anti-malware policies and procedures, including strategies for prevention, detection, and response.
- Logs from anti-malware solutions showing coverage, detection, and remediation of malicious software.
- Exception reports and tracking of malware detection failures and gaps.
- Incident response plans that include specific protocols for handling malware-related incidents.
- Post-incident analysis reports that evaluate the effectiveness of malware protection strategies."
009.017,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03,Technology and cybersecurity program objectives,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",EEE-074: Data Protection and Encryption Documentation,"- Consolidated data protection policies that mandate encryption for sensitive data, detailing standards and handling procedures.
- Certificates and reports demonstrating compliance with recognized encryption standards.
- Centralized records of encryption solutions implemented across the organization, including configuration details.
- Integrated data breach response and incident management plans that specify the use of encryption as a protective measure.
- Streamlined training documentation for all employees on data protection and encryption best practices."
009.017,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03,Technology and cybersecurity program objectives,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",EEE-093: Risk Management Strategy and Framework Documentation,"- Documentation of the organization's risk management strategy and framework, outlining risk identification, assessment, and mitigation processes.
- Records from risk management framework review sessions, including updates made to adapt to new risks or business changes.
- Risk registers or databases tracking identified risks, assessments, and mitigation actions over time.
- Stakeholder reports summarizing the state of risk management within the organization and strategic recommendations.
- External audit or consultant reviews of the risk management framework, providing independent assessments and suggestions for improvement."
009.017,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03,Technology and cybersecurity program objectives,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",EEE-112: System Development and Lifecycle Integrity Documentation,"- System development lifecycle (SDLC) policies and procedures that ensure integrity throughout the development process.
- Documentation of code reviews, testing results, and quality assurance measures taken during development.
- Version control records and release notes for software development projects.
- Training records for developers on secure coding practices and lifecycle management.
- Audit reports evaluating the adherence to SDLC processes and the integrity of development practices.
- Application Security standard, policies, procedures"
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-009: Audit and Remediation Documentation,"- Internal audit reports on IT and cybersecurity controls.
- External audit findings and recommendations related to cybersecurity.
- Management responses and action plans addressing audit observations.
- Follow-up reports on the implementation of audit recommendations.
- Third-party assurance reports (e.g., SOC 2, ISO/IEC 27001 certifications)."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-044: Security Incident and Event Management Documentation,"- Written policies outlining the procedures for managing security incidents and events, including roles and responsibilities.
- Configuration and operational guidelines for Security Information and Event Management (SIEM) systems.
- Logs and analysis reports from the SIEM system, demonstrating the detection and handling of security events.
- Training documentation for personnel responsible for managing the SIEM system and responding to incidents.
- Audit trails and incident reports that document the response to and resolution of security incidents."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-046: Risk Assessment and Threat Analysis Documentation,"- Standardized risk assessment templates.
- Completed assessments for relevant organizational assets and processes.
- Threat analysis reports that identify potential threats and their likelihood and impact on the organization.
- Documentation of risk assessment training for staff involved in the risk management process.
- Risk registers or databases that track identified risks and their mitigation status.
- Historical trend analysis of threats and incidents to inform future risk assessments."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-047: Vulnerability Management and Remediation Strategy Documentation,"- Policies and procedures for identifying, assessing, and remediating vulnerabilities in systems and software.
- Vulnerability scan reports and dashboards showing identified vulnerabilities and their remediation status.
- Change management records for remediation actions taken in response to identified vulnerabilities.
- Documentation of prioritization criteria for addressing vulnerabilities based on risk.
- Records of communication with stakeholders regarding vulnerability management efforts and outcomes."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-050: Control Assessment and Testing Documentation,"- Schedules and plans for regular assessments and testing of security controls to ensure they are functioning as intended.
- Results and reports from control assessments, including identified deficiencies and corrective actions taken.
- Documentation of testing methodologies and criteria used to evaluate the effectiveness of controls.
- Records of updates or changes to controls based on assessment findings."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.","EEE-053: Project Governance, Management, and Quality Assurance Documentation","- Project governance frameworks or charters that define roles, responsibilities, and decision-making processes.
- Stakeholder analysis documents and communication plans for engaging with project stakeholders.
- Project management plans that include quality control measures, checkpoints, risk mitigation strategies, and contingency planning.
- Risk assessment templates and completed assessments for technology projects, identifying potential delivery risks.
- Quality assurance policies and procedures for overseeing project deliverables and outcomes.
- Checklists and tools used for quality control during project execution.
- Meeting minutes and action items from project steering committees, governance boards, or risk management discussions within project teams, including actions taken to address identified risks.
- Records of project audits or reviews focused on quality aspects.
- Feedback and satisfaction surveys from stakeholders regarding project outcomes and engagement.
- Reports on project performance, governance effectiveness, and risk management effectiveness, including lessons learned.
- Training documentation for project managers and team members on quality management practices and risk assessment and management techniques.
- Post-project reviews or retrospectives that analyze risk management effectiveness and lessons learned.
- Documentation of project management standards, methodologies, and best practices adopted by the organization"
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-054: Technology Service Performance and Support Monitoring Documentation,"- Service level agreements (SLAs) and key performance indicators (KPIs) for technology services and support functions.
- Documentation for service catalogs, service support systems, or other mechanisms for end-users to request services.
- Monitoring dashboards or reports that track service performance against SLAs and KPIs.
- Records of service incidents, including response times, resolution details, and customer feedback.
- Procedures for managing and improving technology service performance."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-068: Threat Monitoring and Detection Program Evaluation Documentation,"- Documentation of the monitoring and detection strategies employed to identify potential security threats and vulnerabilities.
- Evaluation reports detailing the effectiveness of monitoring tools and detection mechanisms in identifying and mitigating risks.
- Training records for security personnel on the use of monitoring and detection technologies and techniques.
- Change logs demonstrating updates and improvements made to monitoring and detection capabilities.
- Incident case studies showcasing successful detection and response actions facilitated by the monitoring program."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-081: Incident Analysis and Triage Process Documentation,"- Documentation of standardized processes for analyzing and triaging security incidents, including criteria for categprization and prioritization.
- Logs and reports from incident management systems showing the application of triage processes in real incidents.
- After-action reviews or lessons learned documents from incidents, highlighting the effectiveness of analysis and triage procedures.
- Continuous improvement plans based on feedback and performance metrics from incident analysis activities."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-087: Security Control and Process Improvement Documents,"- Continuous improvement plans for security controls and processes, detailing objectives, actions, timelines, and responsible parties.
- Budget requests and justifications for improvement recommendations.
- Documentation of security control assessments, including findings and recommendations for enhancements.
- Change management records for updates to security processes and controls, including rationale and outcomes.
- Feedback collection mechanisms and reports from users and stakeholders on security controls, informing improvement plans.
- Performance metrics and monitoring reports that track the effectiveness of security controls and process improvements over time."
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",EEE-096: Incident Detection and Response Coordination Documentation,"- Incident detection policies and procedures that define how potential security events are identified and analyzed.
- Coordination plans that outline roles and communication protocols for responding to incidents.
- Logs and reports from detection tools and systems, including details of incident analysis and response actions.
- Training and exercise records for response teams, demonstrating preparedness and coordination effectiveness.
- After-action reports and lessons learned from incident responses, used to improve future coordination."
009.019,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,Risk management program alignment,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",EEE-001: Cybersecurity and IT Strategy Documents,"- An integrated IT strategic plan that includes cybersecurity goals, detailing how security initiatives support and enhance long-term organizational objectives.
- Cybersecurity policy documents that are aligned with the IT strategic plan, ensuring that security measures and protocols are consistently applied across all technology projects.
- A technology and cybersecurity roadmap that provides a timeline for planned IT and security initiatives, including critical milestones and resource allocation.
- Documentation of the organization's adoption and implementation of cybersecurity frameworks demonstrating a structured approach to security practices within the strategic context.
- Consolidated IT and cybersecurity budget reports that reflect strategic financial planning for technology and security investments, highlighting the integration of cybersecurity into the overall technology and business budget.
- Strategic alignment review reports that evaluate the alignment between ongoing IT initiatives and cybersecurity objectives, ensuring that all technology projects incorporate necessary security considerations."
009.019,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,Risk management program alignment,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",EEE-013: Operational Resilience and Continuity Procedures Documentation,"- Standard operating procedures (SOPs) for responding to incidents that threaten resilience and continuity.
- Business continuity plan outlining procedures for maintaining service delivery during disruptions.
- Recovery time objectives (RTOs), recovery point objectives (RPOs), maximum tolerable downtime (MTO), impact tolerance, and/or other recovery objective metrics are established for key services.
- Communication plans for stakeholders during a service disruption, to include alternative communication mechanisms.
- Contingency plans detailing alternative service delivery methods.
- Training records for staff on resilience and continuity procedures and their roles during incidents."
009.019,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,Risk management program alignment,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",EEE-014: Resilience and Continuity Design and Assessment Documents,"- A documented methodology for evaluating the resilience and continuity of business operations and IT systems.
- Workbooks or diagrams that visually depict the dependencies of critical business processes.
- Risk impact studies with mitigation strategies for critical functions.
- Meeting minutes from design reviews focused on enhancing system resilience and continuity.
- Industry benchmarking reports comparing the organization's resilience and continuity capabilities.
- Checklists used for auditing the content and coverage of resilience and continuity plans."
009.019,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,Risk management program alignment,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",EEE-017: Third-Party Risk Management and Communication Documents,"- Risk assessment reports for each critical third-party vendor, detailing potential risks and mitigation strategies.
- Communication plan templates for coordinating with third parties during incidents.
- Vendor risk management policy that outlines procedures for assessing and managing third-party risks.
- Records of third-party risk management training provided to staff responsible for vendor relations.
- Documentation of third-party performance reviews, focusing on compliance with security and resilience standards."
009.019,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,Risk management program alignment,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",EEE-059: Enterprise and Cyber Resilience Policy Documentation,"- Official enterprise resilience strategy documents that outline the organization's approach to achieving and maintaining resilience.
- Cyber resilience policy documents that specify the measures and controls in place to protect against cyber threats.
- Board presentations and approvals related to the resilience strategy and cyber resilience policies.
- Reports from resilience assessments, including gap analyses and recommendations for improvement."
009.019,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,Risk management program alignment,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",EEE-062: Board Oversight and Risk Management Documentation,"- Minutes from board meetings where risk management reviews are conducted, demonstrating oversight.
- Risk management review reports that are presented to the board, including findings and recommendations.
- Policies that define the board's role in overseeing risk management activities.
- Records of board-directed actions taken in response to risk management reviews.
- Training materials for board members on risk management principles and their oversight responsibilities."
009.019,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,Risk management program alignment,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
010.020,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01,Governing authority risk appetite review,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
010.020,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01,Governing authority risk appetite review,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.","EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents","- Risk appetite statements approved by the board or executive management.
- Risk tolerance levels defined for different categories of risk.
- Documentation on how risk appetite influences decision-making and strategy.
- Reports on risk exposures compared to the defined risk appetite.
- Updates or revisions to risk appetite and tolerance based on changing conditions."
010.020,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01,Governing authority risk appetite review,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",EEE-030: Board Accountability and Cybersecurity Governance Documentation,"- Minutes from board meetings where cybersecurity and risk management topics are discussed, showing oversight and decision-making.
- Policies and procedures that define the roles and responsibilities of senior management in overseeing cybersecurity efforts.
- Performance metrics and reports presented to the board and senior management, demonstrating accountability for security and risk management.
- Documentation of board-approved cybersecurity strategies and initiatives.
- Records of executive training and awareness sessions on cybersecurity and risk management topics."
010.020,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01,Governing authority risk appetite review,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",EEE-062: Board Oversight and Risk Management Documentation,"- Minutes from board meetings where risk management reviews are conducted, demonstrating oversight.
- Risk management review reports that are presented to the board, including findings and recommendations.
- Policies that define the board's role in overseeing risk management activities.
- Records of board-directed actions taken in response to risk management reviews.
- Training materials for board members on risk management principles and their oversight responsibilities."
010.020,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01,Governing authority risk appetite review,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",EEE-093: Risk Management Strategy and Framework Documentation,"- Documentation of the organization's risk management strategy and framework, outlining risk identification, assessment, and mitigation processes.
- Records from risk management framework review sessions, including updates made to adapt to new risks or business changes.
- Risk registers or databases tracking identified risks, assessments, and mitigation actions over time.
- Stakeholder reports summarizing the state of risk management within the organization and strategic recommendations.
- External audit or consultant reviews of the risk management framework, providing independent assessments and suggestions for improvement."
010.020,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01,Governing authority risk appetite review,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",EEE-094: Technology and Cybersecurity Risk Appetite Documents,"- Official statements or documents defining the organization's risk appetite specifically related to technology and cybersecurity.
- Board or executive committee meeting minutes discussing and approving the risk appetite statement.
- Guidelines for aligning IT and cybersecurity initiatives with the defined risk appetite.
- Reviews or assessments of projects and initiatives to ensure they are within the organization's technology and cybersecurity risk appetite."
010.021,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02,Risk tolerance identification,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",EEE-001: Cybersecurity and IT Strategy Documents,"- An integrated IT strategic plan that includes cybersecurity goals, detailing how security initiatives support and enhance long-term organizational objectives.
- Cybersecurity policy documents that are aligned with the IT strategic plan, ensuring that security measures and protocols are consistently applied across all technology projects.
- A technology and cybersecurity roadmap that provides a timeline for planned IT and security initiatives, including critical milestones and resource allocation.
- Documentation of the organization's adoption and implementation of cybersecurity frameworks demonstrating a structured approach to security practices within the strategic context.
- Consolidated IT and cybersecurity budget reports that reflect strategic financial planning for technology and security investments, highlighting the integration of cybersecurity into the overall technology and business budget.
- Strategic alignment review reports that evaluate the alignment between ongoing IT initiatives and cybersecurity objectives, ensuring that all technology projects incorporate necessary security considerations."
010.021,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02,Risk tolerance identification,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
010.021,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02,Risk tolerance identification,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.","EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents","- Risk appetite statements approved by the board or executive management.
- Risk tolerance levels defined for different categories of risk.
- Documentation on how risk appetite influences decision-making and strategy.
- Reports on risk exposures compared to the defined risk appetite.
- Updates or revisions to risk appetite and tolerance based on changing conditions."
010.021,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02,Risk tolerance identification,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",EEE-093: Risk Management Strategy and Framework Documentation,"- Documentation of the organization's risk management strategy and framework, outlining risk identification, assessment, and mitigation processes.
- Records from risk management framework review sessions, including updates made to adapt to new risks or business changes.
- Risk registers or databases tracking identified risks, assessments, and mitigation actions over time.
- Stakeholder reports summarizing the state of risk management within the organization and strategic recommendations.
- External audit or consultant reviews of the risk management framework, providing independent assessments and suggestions for improvement."
010.021,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02,Risk tolerance identification,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",EEE-094: Technology and Cybersecurity Risk Appetite Documents,"- Official statements or documents defining the organization's risk appetite specifically related to technology and cybersecurity.
- Board or executive committee meeting minutes discussing and approving the risk appetite statement.
- Guidelines for aligning IT and cybersecurity initiatives with the defined risk appetite.
- Reviews or assessments of projects and initiatives to ensure they are within the organization's technology and cybersecurity risk appetite."
010.021,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02,Risk tolerance identification,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",EEE-104: Risk Tolerance and Management Practice Integration Documentation,"- Documentation of the organization's risk tolerance levels and how these are integrated into risk management practices.
- Records of risk assessments that consider the organization's risk tolerance when determining mitigation strategies.
- Reports to management and the board on risk exposures in relation to the defined risk tolerance.
- Reviews of risk management practices to ensure they remain aligned with the organization's risk tolerance."
010.022,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.03,Risk appetite and tolerance considerations,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.","EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents","- Risk appetite statements approved by the board or executive management.
- Risk tolerance levels defined for different categories of risk.
- Documentation on how risk appetite influences decision-making and strategy.
- Reports on risk exposures compared to the defined risk appetite.
- Updates or revisions to risk appetite and tolerance based on changing conditions."
010.022,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.03,Risk appetite and tolerance considerations,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.","EEE-007: Legal, Regulatory, and Compliance Management Documentation","- Compliance audit reports for relevant laws and regulations (e.g., GDPR, HIPAA).
- Documentation of legal advice received on cybersecurity matters, to include determinations of incident materiality.
- Records of regulatory filings and notices related to IT and cybersecurity.
- Updates to policies and procedures in response to legal and regulatory changes.
- Training records on legal and regulatory requirements for IT staff."
010.022,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.03,Risk appetite and tolerance considerations,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.",EEE-105: Stakeholder Obligation Compliance and Sector-Specific Risk Analysis Documents,"- Policies and procedures that address stakeholder obligations and sector-specific risks.
- Sector-specific risk analysis reports that identify unique risks and compliance requirements.
- Documentation of compliance audits or assessments, including findings and actions taken to address gaps.
- Agreements or contracts with stakeholders that include compliance with sector-specific obligations and standards."
010.022,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.03,Risk appetite and tolerance considerations,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.",EEE-106: Recovery Objectives Critical Infrastructure Documentation,"- Documentation of recovery objectives for critical infrastructure and how these align with business continuity goals.
- Critical infrastructure analysis reports that assess the resilience and recovery capabilities of essential systems.
- Records of alignment discussions or decisions between recovery objectives and business needs.
- Audit reports evaluating the alignment of recovery objectives with the criticality of infrastructure components."
011.023,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01,Enterprise risk management framework integration,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,EEE-001: Cybersecurity and IT Strategy Documents,"- An integrated IT strategic plan that includes cybersecurity goals, detailing how security initiatives support and enhance long-term organizational objectives.
- Cybersecurity policy documents that are aligned with the IT strategic plan, ensuring that security measures and protocols are consistently applied across all technology projects.
- A technology and cybersecurity roadmap that provides a timeline for planned IT and security initiatives, including critical milestones and resource allocation.
- Documentation of the organization's adoption and implementation of cybersecurity frameworks demonstrating a structured approach to security practices within the strategic context.
- Consolidated IT and cybersecurity budget reports that reflect strategic financial planning for technology and security investments, highlighting the integration of cybersecurity into the overall technology and business budget.
- Strategic alignment review reports that evaluate the alignment between ongoing IT initiatives and cybersecurity objectives, ensuring that all technology projects incorporate necessary security considerations."
011.023,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01,Enterprise risk management framework integration,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
011.023,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01,Enterprise risk management framework integration,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,EEE-059: Enterprise and Cyber Resilience Policy Documentation,"- Official enterprise resilience strategy documents that outline the organization's approach to achieving and maintaining resilience.
- Cyber resilience policy documents that specify the measures and controls in place to protect against cyber threats.
- Board presentations and approvals related to the resilience strategy and cyber resilience policies.
- Reports from resilience assessments, including gap analyses and recommendations for improvement."
011.023,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01,Enterprise risk management framework integration,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,EEE-066: Segregation of Duties in Risk Management Documentation,"- Policies and procedures that establish segregation of duties within risk management activities to prevent conflicts of interest and fraud.
- Flowcharts or diagrams that illustrate the separation of roles and responsibilities in risk-related processes.
- Internal control reports that verify the effectiveness of segregation of duties in mitigating risks.
- Records of changes to duties or responsibilities to maintain proper segregation as the organization evolves."
